game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
borderlands 3 نسخه ultimate edition,0,0,0,0,4920000
borderlands نسخه game of the year edition ps4,0,0,0,0,4580250
bornout revenge ps2,0,0,0,0,230000
brave ایکس باکس 360,0,0,0,0,255000
brother in arms ps2,0,0,0,0,250000
brothers in arms 2,0,0,0,0,235000
brothers in arms earned in blood ps2,0,0,0,0,250000
brothers in arms ps2,0,0,0,0,76000
bubsy ps2,0,0,0,0,95000
bullets storm xbox 360,0,0,0,0,150000
bulletstorm ایکس باکس 360,0,0,0,0,750000
burnout 2,0,0,0,0,71250
burnout 2 2,0,0,0,0,187500
burnout 2 point of impact ps2,0,0,0,0,89500
burnout 2 ps2,0,0,0,0,84500
burnout dominator ps2,0,0,0,0,86900
burnout paradise x box 360,0,0,0,0,132000
burnout ps2,0,0,0,0,89000
burnout revenge 2,0,0,0,0,60000
burnout revenge ps2,0,0,0,0,191250
burnout revenge ps2 نشر پرنیان,0,0,0,0,191250
burnout trevenge ps2,0,0,0,0,78900
c-12 final resistance ps1,0,0,0,0,230000
c-12 ps1,0,0,0,0,199000
call of duty ghosts ps4,0,0,0,0,14000000
call of duty infinite warfare نسخه legacy pro edition ps4,0,0,0,0,19916000
call of duty vanguard نسخه استاندارد ps4,0,0,0,0,11500000
call of duty wwii نسخه بلوری ps4,0,0,0,0,8000000
capcom resident evil 7 biohazard gold edition,0,0,0,0,4450000
capitain tsubasa j ps1,0,0,0,0,250000
capitan tsubasa j ps1,0,0,0,0,230000
captain tsubasa rise of new champions ps4,0,0,0,0,4499000
cars 3 driven to win ps4,0,0,0,0,4299900
cars mater national championship ps2 نشر لوح زرین,0,0,0,0,93000
cars ps2,0,0,0,0,84500
cars race orama ps2,0,0,0,0,255000
cars race qrama ps2,0,0,0,0,230000
cars race-o-rama ps2,0,0,0,0,235000
castlevania lords of shadow ایکس باکس 360,0,0,0,0,350000
chernobylite نسخه استاندارد,0,0,0,0,4499900
chuck rock 2 ps2,0,0,0,0,83000
civil war 2,0,0,0,0,235000
civil war a nation divided ps2,0,0,0,0,250000
civil-war a nation divided ps2,0,0,0,0,105000
coastline flight simulator نسخه استاندارد,0,0,0,0,6999900
code vein ps4,0,0,0,0,7000000
combat elite 2,0,0,0,0,89000
combat elite wwii paratroopers ps2,0,0,0,0,88500
combat elite wwii ps2,0,0,0,0,89000
commandos 2 2,0,0,0,0,80000
commandos 2 men of courage ps2,0,0,0,0,95000
commandos 2 men of courage ps2 نشر لوح زرین,0,0,0,0,250000
commandos 2 ps2,0,0,0,0,79000
commandos2 ps2,0,0,0,0,125000
company of heroes console edition,0,0,0,0,7450000
conflict 2,0,0,0,0,235000
conflict desert storm 2,0,0,0,0,235000
conflict desert storm back to baghdad ps2,0,0,0,0,230000
conflict global storm ps2,0,0,0,0,95000
conflict global storm ps2 نشر پرنیان,0,0,0,0,250000
conflict global terror ps2,0,0,0,0,230000
conflict storm 2 ps2,0,0,0,0,230000
contra ps1,0,0,0,0,94000
contra rogue corps ps4,0,0,0,0,6000000
control,0,0,0,0,5489000
corvette ps2,0,0,0,0,250000
counter terrorism special forces ps2,0,0,0,0,81380
counter terrorist special forces fire effects 2 نشر پرنیان,0,0,0,0,85000
crash bandicoot 3 ps1,0,0,0,0,255500
crash bandicoot 4 نسخه standard ps4,0,0,0,0,4900000
crash bandicoot n sane trilogy ps4,0,0,0,0,4760000
crash bandicoot ps1,0,0,0,0,128000
crash bandicoot ps2,0,0,0,0,89500
crash bandicoot ps4,0,0,0,0,4700000
crash bandicoot the wrath of cortex ps2,0,0,0,0,198000
crash bandicoot warped 3 ps1,0,0,0,0,195000
crash bandicoot warped ps1 نشر پرنیان,0,0,0,0,195000
crash bash ps1,0,0,0,0,198000
crash nitro kart ps2,0,0,0,0,234000
crash nitro ps2,0,0,0,0,216000
crash of the titans xbox360,0,0,0,0,290000
crash of the titans نشر پرنیان xbox360,0,0,0,0,250000
crash of titans xbox 360 نشر عصر,0,0,0,0,355000
crash tag team racing ps2,0,0,0,0,180000
crash team racing ps1,0,0,0,0,190000
crash team racing ps2,0,0,0,0,240000
crash team racing universal ps1,0,0,0,0,127000
crash team rumble نسخه آنلاین,0,0,0,0,4300000
crash twinsanith ps2,0,0,0,0,250000
crash twinsanity ps2,0,0,0,0,235000
crisis beat ps1,0,0,0,0,95000
crisis core final fantasy vii reunion نسخه استاندارد,0,0,0,0,4358290
crisisbeat ps1,0,0,0,0,199000
cronos the new dawn نسخه standard,0,0,0,0,8700000
crush 2,0,0,0,0,250000
crysis 2 ایکس باکس 360,0,0,0,0,245000
crysis 3 ایکس باکس 360,0,0,0,0,173000
crysis remastered trilogy نسخه استاندارد ps4,0,0,0,0,4800000
crysis3 xbox 360 نشر جی بی تیم,0,0,0,0,240000
ctr nintendo switch,0,0,0,0,7000000
cyberpunk 2077 ps4,0,0,0,0,7380000
cyberpunk 2077 نسخه artbook edition ps4,0,0,0,0,7499900
d-unit drift racing ps2,0,0,0,0,79800
damage inc pacific squadron wwii xbox 360,0,0,0,0,99000
dangerous hunts ps2,0,0,0,0,250000
dark forces wars ps1,0,0,0,0,110000
dark mirror ps2,0,0,0,0,250000
dark sector xbox 360,0,0,0,0,134500
dark souls iii نسخه complete edition ps4,0,0,0,0,4799900
dark souls iii نسخه استاندارد ps4,0,0,0,0,3869790
dark souls remastered نسخه بلوری ps4,0,0,0,0,4250710
dark souls نسخه trilogy ps4,0,0,0,0,11400000
darksector xbox 360,0,0,0,0,92000
darksiders ایکس باکس 360,0,0,0,0,345000
days gone ps4,0,0,0,0,4200000
days of doom نسخه استاندارد,0,0,0,0,7000000
dead island 2,0,0,0,0,4599900
dead rising نسخه بلوری ps4,0,0,0,0,3899900
deadfall adventure ایکس باکس 360,0,0,0,0,145000
deadfall adventures ایکس باکس 360,0,0,0,0,150000
deadfall xbox 360,0,0,0,0,355000
death stranding,0,0,0,0,7299900
death stranding 2 on the beach,0,0,0,0,8000000
death stranding ps4 کد p98,0,0,0,0,3475000
def jam fight for ny ps2,0,0,0,0,115000
def jam fight ps2,0,0,0,0,90000
delta force ps1,0,0,0,0,230000
delta force urban warfare ps1,0,0,0,0,230000
desert storm 2 2,0,0,0,0,235000
desert storm ll 2,0,0,0,0,230000
despicable me 2,0,0,0,0,235000
despicable me ps2,0,0,0,0,230000
destiny 2 xbox one,0,0,0,0,3000000
detroit become human ps4,0,0,0,0,4742130
deus ex mankind divided نسخه day one edition ps4,0,0,0,0,4500000
devil may cry 5 ps4,0,0,0,0,4600000
devil may cry hd collection نسخه استاندارد ps4,0,0,0,0,5596000
devil may cry5,0,0,0,0,4841540
diablo iii نسخه eternal collection ps4,0,0,0,0,5299900
dino crisis 2 ps1,0,0,0,0,199000
dishonored 2 ps4,0,0,0,0,5350000
dishonored xbox 360,0,0,0,0,138000
dishonored ایکس باکس 360,0,0,0,0,250000
disney classic games collection نسخه بلوری ps4,0,0,0,0,6950000
disney illusion island نسخه استاندارد,0,0,0,0,5999900
disneyland adventures xbox one,0,0,0,0,5900000
dmc devil may cry ps4,0,0,0,0,4199900
dmc devil may cry xbox 360 نشر پرنیان,0,0,0,0,150000
donkey kong bananza نسخه استاندارد nintendo switch 2,0,0,0,0,11897520
donkey xote ps2,0,0,0,0,79000
doom ps1,0,0,0,0,199000
dragon age the veilguard نسخه استاندارد,0,0,0,0,4900000
dragon ball fighterz نسخه استاندارد,0,0,0,0,4599900
dragon ball z kakarot نسخه استاندارد,0,0,0,0,5499900
dragon's dogma ii نسخه steelbook edition,0,0,0,0,9999900
dragon's dogma ii نسخه استاندارد,0,0,0,0,6793550
dreamworks all-star kart racing نسخه استاندارد,0,0,0,0,4499900
drive club ps4,0,0,0,0,4500000
driver 1 1,0,0,0,0,250000
driver 1 ps1,0,0,0,0,194500
driver 2 2,0,0,0,0,285000
driver 2 play station 1,0,0,0,0,197000
driver 2 ps1,0,0,0,0,190000
driver 2 ps2,0,0,0,0,270000
driver san francisco xbox 360,0,0,0,0,192000
driver san francisco xbox 360 نشر جی بی تیم,0,0,0,0,240000
driver san francisco ایکس باکس 360,0,0,0,0,355000
driver2 ps2,0,0,0,0,250000
dt carnage 2,0,0,0,0,89000
dt carnage ps2,0,0,0,0,230000
dungeons 2 نسخه استاندارد ps4,0,0,0,0,2999900
dying light 2 stay human نسخه استاندارد,0,0,0,0,5100000
dying light ps4,0,0,0,0,6150000
ea sports fc 24,0,0,0,0,4250000
ea sports fc 25,0,0,0,0,3450000
ea sports fc 25 ps4,0,0,0,0,6400000
ea sports fc 26 nintendo switch 1,0,0,0,0,7061680
ea sports fc 26 nintendo switch 2,0,0,0,0,7000000
ea sports fc 26 ps4,0,0,0,0,5618830
ea sports fc 26 xbox one / series x,0,0,0,0,8500000
ea sports fc 26 نسخه استاندارد,0,0,0,0,5880000
ea sports wrc نسخه استاندارد,0,0,0,0,6599990
eagle flight ps4,0,0,0,0,5000000
efootball 2022 ps1,0,0,0,0,250000
efootball 2022 xbox 360,0,0,0,0,135000
elden ring,0,0,0,0,6190000
elden ring nightreign,0,0,0,0,4020000
elden ring nightreign نسخه seekers edition,0,0,0,0,7587260
elden ring nightreign نسخه بلوری ps4,0,0,0,0,5899900
elden ring ps4,0,0,0,0,5800000
escape dead island xbox 360,0,0,0,0,100500
escape dead island ایکس باکس 360,0,0,0,0,175000
escape island پرنیان ایکس باکس 360,0,0,0,0,217000
everybody's golf vr ps4,0,0,0,0,3200000
evil dead نسخه استاندارد,0,0,0,0,5300000
evil west,0,0,0,0,5899900
expeditions a mudrunner game,0,0,0,0,7500000
expert ps1,0,0,0,0,199000
extermination ps2,0,0,0,0,199000
f.e.a.r ایکس باکس 360,0,0,0,0,350000
f.e.a.r. 3 xbox360,0,0,0,0,150000
f1 25 نسخه استاندارد,0,0,0,0,7790000
fade to black ps1,0,0,0,0,64500
falling skies xbox 360,0,0,0,0,96100
fallout 76 ps4,0,0,0,0,3100000
fantastic dizzy ps2,0,0,0,0,84500
fantastic four 2,0,0,0,0,235000
fantastic four ps2,0,0,0,0,250000
fantastic four ps2 نشر لوح زرین,0,0,0,0,230000
fantastic four rise of the silver surfer ps2,0,0,0,0,235000
far cry 3 نسخه classic edition ps4,0,0,0,0,4699900
far cry new down ps4,0,0,0,0,3650000
far cry primal نسخه بلوری ps4,0,0,0,0,4799900
farcry 3 blood dragon xbox 360,0,0,0,0,130000
farcry 4 ps4,0,0,0,0,4598000
farcry 5 ps4,0,0,0,0,5300000
farcry 6 نسخه standard ps4,0,0,0,0,4400000
farcry instincts predator xbox360,0,0,0,0,145000
farpoint vr ps4,0,0,0,0,3799900
fast & furious arcade edition نسخه arcade edition,0,0,0,0,5399900
fast & furious showdown xbox 360,0,0,0,0,128000
fast & furious showdown نشر عصر xbox360,0,0,0,0,100000
fast and furious showdown xbox 360,0,0,0,0,280000
fc 24 نسخه standard,0,0,0,0,4250000
fc24 ea,0,0,0,0,4200000
fear xbox360 نشر پرنیان,0,0,0,0,150000
fifa 14 ps4,0,0,0,0,20000000
fifa 14 xbox 360,0,0,0,0,127500
fifa 15 xbox 360,0,0,0,0,193090
fifa 16 ps4,0,0,0,0,4600000
fifa 16 xbox 360,0,0,0,0,155000
fifa 16 xbox one,0,0,0,0,5200000
fifa 17 ps2,0,0,0,0,250000
fifa 17 ps4,0,0,0,0,4000000
fifa 17 به همراه لیگ برتر ایران 2,0,0,0,0,255000
fifa 17 به همراه لیگ برتر ایران ps2,0,0,0,0,250000
fifa 19 ps2,0,0,0,0,95000
fifa 19 با گزارش عادل فردوسی پور ps2,0,0,0,0,49000
fifa 20 ps1,0,0,0,0,235000
fifa 20 ps2,0,0,0,0,250000
fifa 20 xbox 360 نشر پرنیان,0,0,0,0,155000
fifa 20 xbox360,0,0,0,0,125000
fifa 20 مادسازی شده ps1,0,0,0,0,250000
fifa 2017 ps2,0,0,0,0,255000
fifa 2020 xbox 360,0,0,0,0,150000
fifa 2021 ps1,0,0,0,0,230000
fifa 2022 xbox,0,0,0,0,266250
fifa 21 ps2 عصر نسخه مادسازی شده,0,0,0,0,135000
fifa 21 ps2 نشر عصر,0,0,0,0,195000
fifa 21 ps4,0,0,0,0,5000000
fifa 21 xbox 360 نسخه مادسازی شده,0,0,0,0,110000
fifa 21 xbox 360 نشر عصر,0,0,0,0,155000
fifa 21 پرنیان ایکس باکس 360,0,0,0,0,255000
fifa 22,0,0,0,0,5000000
fifa 22 ps2,0,0,0,0,78500
fifa 22 ps2 نشر پرنیان,0,0,0,0,255000
fifa 22 ps2 پرنیان نسخه مادسازی شده,0,0,0,0,255000
fifa 22 ps4,0,0,0,0,7300000
fifa 22 xbox 360,0,0,0,0,119000
fifa 22 xbox sereis x|s,0,0,0,0,6000000
fifa 22 xbox360 نشر پرنیان,0,0,0,0,355000
fifa 22 ایکس باکس 360,0,0,0,0,165000
fifa 22 پرنیان ایکس باکس 360,0,0,0,0,155000
fifa 23,0,0,0,0,4000000
fifa 24 ps4,0,0,0,0,5500000
fifa street ps2,0,0,0,0,250000
fifa17 xbox one,0,0,0,0,4710000
fifa17+ لیگ برتر ایران ps2,0,0,0,0,230000
fifa20 xbox 360,0,0,0,0,155000
fifa21 ps1 نشر عصر,0,0,0,0,199000
fifa21 ps2 نسخه مادسازی شده پرنیان,0,0,0,0,250000
fighting force 2 ps1,0,0,0,0,199000
fighting force 2 ps2,0,0,0,0,230000
fighting force ps1,0,0,0,0,199000
fighting force ps2,0,0,0,0,275000
fighting force2 ps1,0,0,0,0,275000
final fantasy type-0 hd نسخه استاندارد ps4,0,0,0,0,2999000
final fantasy x/x-2 hd remastered نسخه استاندارد nintendo switch,0,0,0,0,7299900
final fantasy xv ps4,0,0,0,0,5800000
fire pro wrestling iron slam 96 ps1,0,0,0,0,199000
fire proeresiling iron slam 96 ps1,0,0,0,0,199000
firefighting simulator the squad نسخه استاندارد,0,0,0,0,7299900
first light 007 نسخه legacy edition,0,0,0,0,68500000
fist light 007 نسخه collector edition,0,0,0,0,54000000
five nights at freddy's help wanted 2 نسخه استاندارد,0,0,0,0,5199900
five nights at freddy's into the pit نسخه استاندارد nintendo switch,0,0,0,0,10000000
five nights at freddy's security breach نسخه استاندارد,0,0,0,0,5200000
five nights at freddy's نسخه core collection ps4,0,0,0,0,5199900
flicky ps2,0,0,0,0,84000
football 2022 xbox 360 نسخه مادسازی شده,0,0,0,0,255000
football 2023 ps1,0,0,0,0,199000
football gaelic 2 ps2,0,0,0,0,235000
ford racing 2 ps2,0,0,0,0,99000
forza 4 ایکس باکس 360,0,0,0,0,295000
forza motorsport 4 xbox 360,0,0,0,0,341250
forza motorsport 4 ایکس باکس 360 نشر پرنیان,0,0,0,0,325000
forza motorsport xbox 360,0,0,0,0,341250
forza motosport4 xbox 360 نشر جی بی تیم,0,0,0,0,290000
fracture xbox 360,0,0,0,0,225000
fracture ایکس باکس 360,0,0,0,0,72000
frontlines fuel of war xbox 360,0,0,0,0,95000
frontlines fuel or war xbox 360 نشر پرنیان,0,0,0,0,250000
galactic wrestling ps2,0,0,0,0,128000
gears of war 2 xbox 360,0,0,0,0,139000
gears of war reloaded نسخه standard,0,0,0,0,6250000
gears of war xbox 360,0,0,0,0,93000
ghost of tsushima,0,0,0,0,6280000
ghost of tsushima نسخه director's cut ps4,0,0,0,0,7599900
ghost of tsushima نسخه استاندارد ps4,0,0,0,0,4400000
ghost of yotei نسخه standard,0,0,0,0,10217900
ghost recon 2,0,0,0,0,235000
ghost recon 2 2,0,0,0,0,235000
ghost recon 2 ps2,0,0,0,0,250000
ghost recon 2 ps2 نشر لوح زرین,0,0,0,0,230000
ghost recon ps2,0,0,0,0,75000
ghost rider ps2,0,0,0,0,180000
ghostrunner 2,0,0,0,0,3999900
ghostwire tokyo نسخه بلوری,0,0,0,0,4999900
god of war 4 ps4 نسخه limited edition,0,0,0,0,33000000
god of war iii remastered ps4,0,0,0,0,3554430
god of war ps4,0,0,0,0,3800000
god of war ragnarok,0,0,0,0,5155450
god of war ragnarök نسخه استاندارد ps4,0,0,0,0,5320570
godfall,0,0,0,0,3400000
gotham knights نسخه استاندارد,0,0,0,0,5251790
gran turismo 2 ps1,0,0,0,0,93500
gran turismo 7,0,0,0,0,6000000
gran turismo 7 ps4,0,0,0,0,5500000
gran turismo 7 نسخه استیل بوک,0,0,0,0,20000000
gran turismo ps1,0,0,0,0,195000
grand theft auto v,0,0,0,0,4000000
grand tour racing gt-r ps2,0,0,0,0,230000
greedfall نسخه gold edition,0,0,0,0,5499900
gt racers ps2,0,0,0,0,230000
gt-r 400 2,0,0,0,0,235000
gt-r 400 ps2,0,0,0,0,250000
gunfighter ps1,0,0,0,0,199000
h.a.w.x.2 ایکس باکس 360,0,0,0,0,88000
hades نسخه استاندارد,0,0,0,0,6017570
hades نسخه استاندارد ps4,0,0,0,0,5899900
half-life ps2,0,0,0,0,155000
halo 5 guardians xbox one,0,0,0,0,7900000
harry potter half blood prince xbox 360,0,0,0,0,165000
harry potter quidditch champions,0,0,0,0,7990000
harvest fishing ps2 نشر لوح زرین,0,0,0,0,250000
hawx2 xbox 360 نشر جی بی تیم,0,0,0,0,240000
heavy rain و beyond ps4,0,0,0,0,9000000
hello neighbor 2,0,0,0,0,5599900
hello neighbor 2 نسخه استاندارد nintendo switch,0,0,0,0,10000000
highway police simulator نسخه بلوری,0,0,0,0,6899900
hitman 1 ps4,0,0,0,0,7000000
hitman world of assassination,0,0,0,0,5800000
hitman world of assassination 25 anniversary نسخه limited edition,0,0,0,0,8700000
hogwarts legacy,0,0,0,0,4750000
hogwarts legacy nintendo switch 2,0,0,0,0,9550000
hogwarts legacy نسخه استاندارد nintendo switch 2,0,0,0,0,11999900
hogwarts legacy نسخه استاندارد ps4,0,0,0,0,4973220
hogwarts legacy نینتندو سوئیچ,0,0,0,0,9550000
hollow knight نسخه standard ps4,0,0,0,0,8650000
home front ایکس باکس 360,0,0,0,0,355000
horizon adventures nintendo switch,0,0,0,0,13000000
horizon forbidden west,0,0,0,0,7490000
horizon forbidden west نسخه کامل,0,0,0,0,7900000
horizon zero dawn ps4,0,0,0,0,3299900
horizon zero dawn remastered,0,0,0,0,6299900
horizon zero dawn نسخه complete edition ps4,0,0,0,0,7900000
hot wheels monster trucks stunt mayhem نسخه استاندارد,0,0,0,0,5299900
hulk ps2,0,0,0,0,230000
ice age 3 ps2,0,0,0,0,250000
ice age dawn of the dinoaurs ps2,0,0,0,0,176250
ice age dawn of the dinosaurs 2,0,0,0,0,70500
ice age dawn of the dinosaurs ps2,0,0,0,0,59250
ice age ps2,0,0,0,0,150000
ice age scrats nutty adventure ps4,0,0,0,0,5500000
immortals fenyx rising نسخه shadowmaster edition ps4,0,0,0,0,3399900
immortals of aveum,0,0,0,0,4899900
infamous second son نسخه استاندارد ps4,0,0,0,0,3973010
injustice heroes among us xbox360,0,0,0,0,260000
injustice heroes among us ایکس باکس360,0,0,0,0,355000
injustice xbox 360 نشر جی بی تیم,0,0,0,0,240000
insurgency sandstorm ps4,0,0,0,0,5800000
iron man vr نسخه استاندارد ps4,0,0,0,0,3600000
it takes two nintendo switch,0,0,0,0,7150000
it takes two ps4,0,0,0,0,4400000
jackie chan adventures ps2,0,0,0,0,195000
jakie chan adventures 2,0,0,0,0,191250
jet li rise to honor ps2,0,0,0,0,165000
juiced 2 hot import nights xbox360 نشر پرنیان,0,0,0,0,230000
jumanji the video game مخصوی,0,0,0,0,6599900
jurassic world evolution 2 نسخه استاندارد,0,0,0,0,7900000
jurassic world evolution 3 نسخه استاندارد,0,0,0,0,9850000
just cause 2 xbox 360,0,0,0,0,108000
just cause 2 xbox 360 نشر جی بی تیم,0,0,0,0,240000
just cause 2 ایکس باکس 360 نشر پرنیان,0,0,0,0,155000
just cause 3 ps4,0,0,0,0,5100000
just cause 3 xboxone,0,0,0,0,4500000
just cause 3 نسخه gold edition ps4,0,0,0,0,7000000
just cause 4 ps4,0,0,0,0,4299900
