game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
kingdom come deliverance نسخه royal,0,0,0,0,5691000
lake,0,0,0,0,3681000
lego batman legacy of the dark knight,0,0,0,0,8574000
lego brawls,0,0,0,0,4417000
lies of p,0,0,0,0,6041000
life is strange double exposure,0,0,0,0,8500000
lisa definitive edition,0,0,0,0,5502000
little nightmares 1 complete edition,0,0,0,0,4818000
little nightmares 3,0,0,0,0,5298000
lords of the fallen,0,0,0,0,4564000
lost soul aside,0,0,0,0,8352000
lumo 2,0,0,0,0,5697000
mafia the old country,0,0,0,0,7594000
magical bakery,0,0,0,0,4956000
marvel cosmic invasion,0,0,0,0,5673000
marvels midnight suns,0,0,0,0,2848000
master detective archives rain code plus,0,0,0,0,6656000
metal gear solid delta snake eater,0,0,0,0,7503000
metal gear solid master collection vol 1,0,0,0,0,8855000
metaphor refantazio,0,0,0,0,5542000
microsoft flight simulator 2024,0,0,0,0,14359000
minecraft,0,0,0,0,5704000
minecraft legends,0,0,0,0,5521000
miraculous paris under siege,0,0,0,0,4090000
mon yu,0,0,0,0,5424000
monster high skulltimate secrets,0,0,0,0,4606000
monster hunter wilds,0,0,0,0,7361000
mortal kombat 1 premium edition,0,0,0,0,4771000
mortal kombat legacy kollection,0,0,0,0,5677000
motogp 26,0,0,0,0,7807000
mount and blade 2 bannerlord,0,0,0,0,4307000
my little pony a maretime bay adventure,0,0,0,0,6648000
nba 2k26,0,0,0,0,5403000
nfs need for speed unbound,0,0,0,0,4077000
nickelodeon all star brawl 2,0,0,0,0,7400000
nicktoons and the dice of destiny,0,0,0,0,8573000
ninja gaiden 2 black,0,0,0,0,8420000
ninja gaiden 4,0,0,0,0,9410000
ninja gaiden ragebound,0,0,0,0,5039000
nioh 3 steel book,0,0,0,0,8040000
noob the factionless,0,0,0,0,4712000
nuclear blaze,0,0,0,0,4660000
oaken,0,0,0,0,4707000
one piece odyssey,0,0,0,0,4446000
park ranger simulator,0,0,0,0,5292000
paw patrol adventure city call,0,0,0,0,4054000
paw patrol grand prix,0,0,0,0,4427000
paw patrol mighty pups save adventure bay,0,0,0,0,4675000
paw patrol rescue wheels championship,0,0,0,0,6642000
paw patrol world,0,0,0,0,5586000
persona 5 royal,0,0,0,0,4944000
pga tour 2k25,0,0,0,0,6387000
pneumata,0,0,0,0,4087000
poker club,0,0,0,0,4364000
poppy playtime triple pack,0,0,0,0,5193000
pragmata,0,0,0,0,8619000
predator hunting grounds,0,0,0,0,4539000
prodeus,0,0,0,0,4073000
project tower,0,0,0,0,4168000
raging loop,0,0,0,0,7941000
read only memories neurodiver,0,0,0,0,5081000
ready or not,0,0,0,0,7918000
red dead redemption 1 remastered,0,0,0,0,5451000
remnant 2,0,0,0,0,4700000
resident evil 3 remake,0,0,0,0,4267000
resident evil 4 remake,0,0,0,0,3914000
resident evil 4 remake gold edition,0,0,0,0,6750000
resident evil 7 biohazard gold edition,0,0,0,0,4566000
ride 6,0,0,0,0,8262000
rise of the ronin,0,0,0,0,5404000
roadcraft,0,0,0,0,5138000
robocop rogue city,0,0,0,0,3446000
robocop rogue city collection,0,0,0,0,6180000
robocop rogue city unfinished business,0,0,0,0,4866000
rogue flight,0,0,0,0,3240000
roller coaster tycoon adventures deluxe,0,0,0,0,3781000
rpg maker with,0,0,0,0,6634000
rugby 25,0,0,0,0,4455000
sackboy a big adventure,0,0,0,0,5014000
saints row 2022,0,0,0,0,2558000
samurai academy paws of fury,0,0,0,0,4542000
saros,0,0,0,0,10317000
screamer,0,0,0,0,7205000
sea of stars,0,0,0,0,3990000
seed of life,0,0,0,0,4251000
seeker my shadow ps vr2,0,0,0,0,3281000
shadows of doubt,0,0,0,0,3148000
