game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
poppy playtime triple pack,0,0,0,0,5650000
pragmata,0,0,0,0,9000000
predator hunting grounds,0,0,0,0,5550000
quidditch champions delux edition,0,0,0,0,5350000
rainbow six siege deluxe edition,0,0,0,0,7050000
ratchet & clank,0,0,0,0,6750000
reanimal,0,0,0,0,8100000
red dead redemption,0,0,0,0,5650000
resident evil 2,0,0,0,0,6200000
resident evil 3 remake,0,0,0,0,4550000
resident evil 4 remake,0,0,0,0,6350000
resident evil 4 remake gold edition,0,0,0,0,6850000
resident evil 7 biohazard نسخه گلد,0,0,0,0,6500000
resident evil requiem,0,0,0,0,9850000
resident evil requiem نسخه deluxe,0,0,0,0,17800000
resident evil village,0,0,0,0,5050000
resident evil village gold edition,0,0,0,0,5850000
retropolis 2 never say goodbye,0,0,0,0,5350000
returnal,0,0,0,0,8350000
ride 5,0,0,0,0,5500000
ride 6,0,0,0,0,10800000
rise of ronin,0,0,0,0,7250000
roadcraft,0,0,0,0,7350000
robocop rogue city,0,0,0,0,5450000
robocop rogue city unfinished business,0,0,0,0,7550000
rollercoaster tycoon adventures deluxe,0,0,0,0,5850000
rpg maker with,0,0,0,0,6400000
s.t.a.l.k.e.r. 2 heart of chornobyl,0,0,0,0,8450000
saints row day one edition,0,0,0,0,5850000
saros,0,0,0,0,14350000
shinobi art of vengeance,0,0,0,0,7150000
silent hill 2,0,0,0,0,8200000
silent hill f,0,0,0,0,9300000
sniper elite resistance,0,0,0,0,7250000
snowrunner,0,0,0,0,6250000
sonic racing crossworlds,0,0,0,0,7250000
sonic x shadow generations,0,0,0,0,6500000
split fiction,0,0,0,0,7650000
spongebob cosmic shake,0,0,0,0,6350000
spongebob patrik star,0,0,0,0,8350000
spongebob squarepants titans of the tide,0,0,0,0,5850000
starfield,0,0,0,0,9800000
stray,0,0,0,0,8250000
street fighter 6,0,0,0,0,8550000
sword art online fractured daydream,0,0,0,0,5350000
sword art online last recollection,0,0,0,0,5850000
tchia oleti,0,0,0,0,11450000
tekken 8,0,0,0,0,5800000
terminator 2d no fate day one edition,0,0,0,0,9600000
the callisto protocol,0,0,0,0,7400000
the elder scrolls iv oblivion remasteredِ delux edition,0,0,0,0,7550000
the first berserker khazan,0,0,0,0,7450000
the last of us part 2 remastered,0,0,0,0,6500000
the last of us™ part i,0,0,0,0,6300000
the nioh collection,0,0,0,0,6550000
the outer worlds 2,0,0,0,0,8850000
the precinct,0,0,0,0,7650000
the quarry,0,0,0,0,7350000
the tale of onogoro vr2,0,0,0,0,6150000
tomb raider i-ii-iii remastered,0,0,0,0,5500000
truck driver the american dream,0,0,0,0,6150000
ufc 5,0,0,0,0,7050000
ufc 6,0,0,0,0,11450000
uncharted,0,0,0,0,6050000
until dawn,0,0,0,0,6850000
vampire the masquerade bloodlines 2,0,0,0,0,10350000
vertigo 2 psvr2,0,0,0,0,6350000
visions of mana,0,0,0,0,6250000
w2k24,0,0,0,0,5350000
w2k26,0,0,0,0,9850000
wo long fallen dynasty,0,0,0,0,11550000
wrc,0,0,0,0,9600000
wuchang fallen feathers day one edition,0,0,0,0,8350000
yakuza kiwami 3 - dark ties,0,0,0,0,10500000
باندل final fantasy remake + rebirth,0,0,0,0,10750000
نسخه کالکتور 007 first light,0,0,0,0,63850000
کالکتور 007 first light نسخه legacy edition,0,0,0,0,69700000
کالکتور ghost of yōtei,0,0,0,0,60850000
