game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
motogp 26 نسخه day one edition,0,0,0,0,8080000
mount & blade 2 bannerlord,0,0,0,0,4980000
naruto x boruto ultimate ninja storm connections,0,0,0,0,6000000
nba 2k26,0,0,0,0,4560000
need for speed unbound,0,0,0,0,3248000
nickelodeon all star brawl 2,0,0,0,0,13450000
nickelodeon kart racers 3 slime speedway,0,0,0,0,9500000
ninja gaiden 2 black,0,0,0,0,12000000
ninja gaiden 4,0,0,0,0,8940000
nioh 3,0,0,0,0,8000000
overcooked! all you can eat,0,0,0,0,4090000
painkiller,0,0,0,0,14000000
panda hero,0,0,0,0,3170000
paw patrol world,0,0,0,0,6980000
poppy playtime triple pack,0,0,0,0,4370000
pragmata,0,0,0,0,9699000
prince of persia the lost crown,0,0,0,0,3870000
rainbow high runway rush,0,0,0,0,3830000
ratchet & amp clank rift apart,0,0,0,0,5340000
rayman 30th anniversary edition,0,0,0,0,11950000
reanimal,0,0,0,0,6480000
red dead redemption,0,0,0,0,5420000
remnant 2,0,0,0,0,6950000
resident evil 2 remake,0,0,0,0,4835000
resident evil 3 remake,0,0,0,0,3695000
resident evil 4 remake,0,0,0,0,4000000
resident evil 4 remake gold edition,0,0,0,0,5280000
resident evil 7 biohazard gold edition,0,0,0,0,3895000
resident evil 8 village gold edition,0,0,0,0,4730000
resident evil requiem,0,0,0,0,9400000
resident evil requiem نسخه دلوکس (استیل بوک),0,0,0,0,18900000
resident evil village,0,0,0,0,4198000
returnal,0,0,0,0,5940000
ride 5,0,0,0,0,6950000
ride 6,0,0,0,0,8490000
riders republic,0,0,0,0,3980000
rise of the ronin,0,0,0,0,7240000
robocop rogue city,0,0,0,0,5500000
sackboy a big adventure,0,0,0,0,4390000
saints row نسخه day one edition,0,0,0,0,4890000
saros,0,0,0,0,9630000
session skate sim,0,0,0,0,3750000
sifu,0,0,0,0,7500000
silent hill 2 remake,0,0,0,0,8790000
silent hill f,0,0,0,0,7790000
sniper elite 5,0,0,0,0,5980000
sniper elite resistance,0,0,0,0,6570000
sniper ghost warrior contracts 2,0,0,0,0,3998000
sniper ghost warrior contracts 2 نسخه elite edition voucer code,0,0,0,0,6940000
snowrunner,0,0,0,0,3300000
sonic frontiers,0,0,0,0,7000000
sonic origins plus,0,0,0,0,4190000
sonic racing crossworlds,0,0,0,0,7750000
sonic superstars,0,0,0,0,4180000
south park snow day!,0,0,0,0,3490000
split fiction,0,0,0,0,6285000
spongebob squarepants the cosmic shake,0,0,0,0,4530000
spongebob squarepants the patrick star game,0,0,0,0,4890000
spongebob squarepants titans of the tide,0,0,0,0,6500000
stalker 2 heart of chernobyl نسخه day one edition,0,0,0,0,7140000
star wars jedi fallen order,0,0,0,0,12790000
star wars jedi survivors,0,0,0,0,6500000
stray,0,0,0,0,6450000
street fighter 6,0,0,0,0,5900000
street fighter 6 steelbook,0,0,0,0,5980000
suicide squad kill the justice league,0,0,0,0,3850000
system shock,0,0,0,0,3680000
teenage mutant ninja turtles shredders revenge,0,0,0,0,12990000
tekken 8,0,0,0,0,5150000
tekken 8 نسخه launch edition,0,0,0,0,10000000
tennis world tour 2 complete edition,0,0,0,0,3540000
test drive unlimited solar crown,0,0,0,0,4650000
the callisto protocol,0,0,0,0,5890000
the crew motorfest,0,0,0,0,4900000
the elder scrolls iv oblivion remastered نسخه deluxe edition,0,0,0,0,9850000
the first berserker khazan,0,0,0,0,8950000
the house of the dead remake,0,0,0,0,3650000
the invincible,0,0,0,0,9800000
the last of us part 1 remake,0,0,0,0,5070000
the last of us part 2 remastered,0,0,0,0,5240000
the lord of the rings gollum,0,0,0,0,2980000
the nioh collection,0,0,0,0,4960000
the rogue prince of persia,0,0,0,0,5940000
the texas chain saw massacre,0,0,0,0,3160000
the witcher 3 wild hunt complete,0,0,0,0,4350000
tintin reporter cigars of the pharaoh,0,0,0,0,13450000
tom clancy’s rainbow six siege deluxe edition,0,0,0,0,5500000
tomb raider 1 2 3 remastered,0,0,0,0,9500000
tourist bus simulator,0,0,0,0,6180000
truck & logistics simulator,0,0,0,0,5990000
ufc 5,0,0,0,0,4490000
ufc 6,0,0,0,0,10900000
uncharted legacy of thieves collection,0,0,0,0,4835000
undisputed,0,0,0,0,14250000
until dawn,0,0,0,0,6490000
vampire the masquerade swansong,0,0,0,0,2850000
wanted dead,0,0,0,0,3970000
"warhammer 40,000 space marine 2",0,0,0,0,7640000
"warhammer 40,000 space marine 2 نسخه gold edition",0,0,0,0,10500000
watch dogs legion,0,0,0,0,3730000
way of the hunter,0,0,0,0,3770000
wild hearts,0,0,0,0,4215000
wo long fallen dynasty,0,0,0,0,9750000
world war z aftermath,0,0,0,0,8500000
worms rumble fully loaded edition,0,0,0,0,3450000
wwe 2k25,0,0,0,0,5670000
wwe 2k26,0,0,0,0,8190000
yakuza like a dragon,0,0,0,0,2550000
