game,account capacity 1,account capacity 2,account capacity 3,game on customer account,game disk
elden ring نسخه shadow of the erdtree,0,0,0,0,7950000
elden ring: nightreign,0,0,0,0,5950000
elden ring: nightreign نسخه کالکتور,0,0,0,0,55000000
empire of the ants نسخه محدود,0,0,0,0,8900000
enotria: the last song,0,0,0,0,12900000
ereban: shadow legacy,0,0,0,0,9850000
eriksholm: the stolen dream,0,0,0,0,6950000
evil dead,0,0,0,0,4950000
evil genius 2: world domination,0,0,0,0,5000000
evil inside,0,0,0,0,5990000
evil nun: the broken mask نسخه unholy,0,0,0,0,5000000
expeditions: a mudrunner game,0,0,0,0,8000000
f1 25,0,0,0,0,9900000
f1 manager 2022,0,0,0,0,4500000
farmers vs zombies,0,0,0,0,4000000
farming simulator 22,0,0,0,0,5990000
fast & furious نسخه arcade,0,0,0,0,6900000
fatal frame ii: crimson butterfly remake,0,0,0,0,8950000
fatal fury: city of wolves,0,0,0,0,6950000
fc 26,0,0,0,0,5950000
final fantasy 16,0,0,0,0,6850000
final fantasy 16 نسخه دلوکس,0,0,0,0,15000000
final fantasy 7 remake intergrade,0,0,0,0,8950000
final fantasy tactics: the ivalice chronicles,0,0,0,0,6950000
final fantasy vii remake intergrade & rebirth پک دوتایی نسخه فیزیکی,0,0,0,0,11950000
five nights at freddy's help wanted 2,0,0,0,0,5450000
five nights at freddy's security breach,0,0,0,0,6950000
five nights at freddy's: into the pit,0,0,0,0,6800000
five nights at freddy's: secret of the mimic,0,0,0,0,7950000
flint: treasure of oblivion,0,0,0,0,7500000
football manager 2024 console,0,0,0,0,6000000
forgotten city,0,0,0,0,5800000
formula retro racing: world tour نسخه ویژه,0,0,0,0,4000000
forspoken,0,0,0,0,6950000
fort solis,0,0,0,0,6450000
fort solis نسخه محدود,0,0,0,0,6900000
front mission 1st,0,0,0,0,5950000
gangs of sherwood,0,0,0,0,7100000
gear.club unlimited 2 نسخه ultimate,0,0,0,0,5950000
gears of war: reloaded,0,0,0,0,6950000
ghost of tsushima نسخه director's cut,0,0,0,0,6950000
ghost of yotei,0,0,0,0,11000000
ghostbusters: spirits unleashed,0,0,0,0,5000000
ghostrunner ii,0,0,0,0,6200000
gothic remake,0,0,0,0,11950000
gran turismo 7 و ps vr2,0,0,0,0,6950000
granblue fantasy: relink,0,0,0,0,11000000
greak: memories of azur,0,0,0,0,4000000
greedfall gold edition,0,0,0,0,9900000
greedfall: the dying world,0,0,0,0,12950000
grid legends,0,0,0,0,7950000
guardians of the galaxy,0,0,0,0,8500000
gungrave: g.o.r.e. نسخه day one,0,0,0,0,4500000
gylt,0,0,0,0,5000000
heavy duty challenge: the off-road truck simulator,0,0,0,0,6790000
hell is us,0,0,0,0,8900000
hell let loose نسخه دلوکس,0,0,0,0,7500000
helldivers ii,0,0,0,0,5950000
hello kitty island adventure,0,0,0,0,8900000
hello neighbor 2,0,0,0,0,8550000
high on life 2,0,0,0,0,8950000
highway police simulator,0,0,0,0,7900000
hitman: world of assassination نسخه ۲۵ سالگی hitman,0,0,0,0,7950000
hogwarts legacy,0,0,0,0,6450000
horizon forbidden west,0,0,0,0,5950000
horizon forbidden west نسخه کامل,0,0,0,0,7950000
horizon zero dawn remastered,0,0,0,0,6950000
hot wheels unleashed 2: turbocharged,0,0,0,0,6450000
hubris ps vr2,0,0,0,0,5950000
human fall flat dream collection,0,0,0,0,6800000
i hate this place نسخه elena,0,0,0,0,9450000
immortals of aveum,0,0,0,0,5950000
in nightmare,0,0,0,0,4500000
indiana jones and the great circle,0,0,0,0,16400000
inertial drift نسخه twilight rivals,0,0,0,0,4500000
inspector gadget: mad time party,0,0,0,0,5900000
judgment,0,0,0,0,5900000
jurassic park classic games collection,0,0,0,0,5900000
jurassic world evolution 2,0,0,0,0,6900000
jurassic world evolution 3,0,0,0,0,11900000
kaku: ancient seal,0,0,0,0,7950000
karma: the dark world نسخه محدود,0,0,0,0,7450000
kena: bridge of spirits نسخه دلوکس,0,0,0,0,5850000
keywe,0,0,0,0,4000000
kiborg,0,0,0,0,5950000
killing floor iii,0,0,0,0,6950000
kingdom come: deliverance ii,0,0,0,0,8450000
kingdom come: deliverance نسخه royal,0,0,0,0,7950000
lake,0,0,0,0,5600000
last days of lazarus,0,0,0,0,5000000
layers of fear,0,0,0,0,6950000
lego 2k drive,0,0,0,0,5900000
lego batman: legacy of the dark knight,0,0,0,0,9950000
lego brawls,0,0,0,0,5900000
lego horizon adventures,0,0,0,0,6450000
lego party,0,0,0,0,5950000
lego star wars: the skywalker saga,0,0,0,0,7900000
lies of p,0,0,0,0,6950000
life is strange remastered collection,0,0,0,0,13800000
life is strange reunion,0,0,0,0,9950000
life is strange: true colors,0,0,0,0,4950000
like a dragon: infinite wealth,0,0,0,0,7500000
lisa نسخه definitive,0,0,0,0,6900000
little nightmares iii,0,0,0,0,5950000
lost judgment,0,0,0,0,9600000
lost records: bloom & rage,0,0,0,0,7900000
lost soul aside,0,0,0,0,6950000
lunar lander beyond,0,0,0,0,4500000
madison نسخه possessed,0,0,0,0,5950000
mafia: the old country,0,0,0,0,6950000
magical bakery,0,0,0,0,5950000
mandragora: whispers of the witch tree,0,0,0,0,8950000
maneater,0,0,0,0,5900000
marvel cosmic invasion,0,0,0,0,7950000
master detective archives: rain code plus,0,0,0,0,7500000
matchbox driving adventures,0,0,0,0,9000000
metal gear solid delta: snake eater,0,0,0,0,9900000
metal gear solid delta: snake eater نسخه day one,0,0,0,0,6950000
metal gear solid delta: snake eater نسخه دلوکس,0,0,0,0,12950000
metro exodus نسخه کامل,0,0,0,0,5950000
miasma chronicles,0,0,0,0,5000000
microsoft flight simulator 2024,0,0,0,0,14650000
midnight suns نسخه enhanced,0,0,0,0,5000000
military logistics simulator,0,0,0,0,6950000
mindseyǝ,0,0,0,0,9500000
minecraft,0,0,0,0,6950000
minecraft legends نسخه دلوکس,0,0,0,0,7900000
monster energy supercross 4: the official video game,0,0,0,0,4500000
monster high: skullimate secrets,0,0,0,0,5900000
monster hunter stories 3: twisted reflection,0,0,0,0,11950000
monster hunter wilds با کاور سه بعدی,0,0,0,0,10200000
monster truck championship,0,0,0,0,4500000
mortal kombat: legacy kollection,0,0,0,0,6950000
motogp 26 نسخه day one,0,0,0,0,8950000
naruto x boruto ultimate ninja storm connections,0,0,0,0,6500000
nba 2k26,0,0,0,0,5950000
nba bounce,0,0,0,0,8900000
need for speed unbound,0,0,0,0,5950000
new tales from the borderlands نسخه دلوکس,0,0,0,0,5600000
nickelodeon kart racers 3: slime speedway,0,0,0,0,7990000
ninja gaiden 4,0,0,0,0,9950000
ninja gaiden ii black,0,0,0,0,9950000
ninja gaiden: ragebound,0,0,0,0,6950000
nioh 3,0,0,0,0,9950000
nioh 3 نسخه استیل بوک,0,0,0,0,11950000
no man's sky,0,0,0,0,6950000
no more heroes iii,0,0,0,0,4000000
noob: the factionless,0,0,0,0,5000000
oaken,0,0,0,0,7900000
octopath traveler 0,0,0,0,0,11900000
octopath traveler ii,0,0,0,0,7500000
omegabot,0,0,0,0,4500000
omen of sorrow نسخه محدود,0,0,0,0,13900000
on the road: truck simulator,0,0,0,0,6950000
one piece odyssey,0,0,0,0,6950000
operation serpens ps vr2,0,0,0,0,4950000
operation wolf returns: first mission نسخه rescue,0,0,0,0,5000000
outbound,0,0,0,0,7450000
outcast: a new beginning,0,0,0,0,8900000
outriders نسخه day one,0,0,0,0,4950000
overcooked all you can eat,0,0,0,0,6750000
override 2 نسخه ultraman deluxe,0,0,0,0,4500000
ovrdark: a do not open story ps vr2,0,0,0,0,8950000
oxide: room 208,0,0,0,0,9500000
oxide: room 208 نسخه کالکتور,0,0,0,0,9950000
pacific drive,0,0,0,0,6250000
pacific drive نسخه دلوکس,0,0,0,0,8990000
painkiller,0,0,0,0,6000000
park beyond,0,0,0,0,5000000
paw patrol mighty pups save adventure bay!,0,0,0,0,5900000
paw patrol rescue wheels: championship,0,0,0,0,6950000
paw patrol the movie: adventure city calls,0,0,0,0,9550000
paw patrol world,0,0,0,0,7000000
paw patrol: grand prix,0,0,0,0,6950000
payday 3 نسخه day one,0,0,0,0,4450000
pga tour 2k25,0,0,0,0,7750000
planet zoo نسخه,0,0,0,0,9900000
plateup!,0,0,0,0,6490000
poppy playtime triple pack,0,0,0,0,6950000
portrait of a torn,0,0,0,0,9850000
pragmata,0,0,0,0,9950000
project tower,0,0,0,0,5900000
puyo puyo tetris 2,0,0,0,0,4000000
quidditch champions نسخه دلوکس,0,0,0,0,5000000
raging loop,0,0,0,0,8850000
rainbow six siege deluxe edition - نسخه,0,0,0,0,6500000
ratchet & clank: rift apart,0,0,0,0,6450000
ravenswatch نسخه legendary,0,0,0,0,6400000
rayman نسخه ۳۰ سالگی,0,0,0,0,7950000
read only memories: neurodiver,0,0,0,0,5990000
ready or not نسخه day 1,0,0,0,0,9950000
reanimal,0,0,0,0,7950000
red dead redemption,0,0,0,0,6950000
redout ii نسخه دلوکس,0,0,0,0,4500000
remnant ii,0,0,0,0,6500000
rennsport,0,0,0,0,9950000
resident evil 7: biohazard نسخه gold,0,0,0,0,5950000
resident evil requiem,0,0,0,0,11000000
resident evil requiem با کاور سه بعدی,0,0,0,0,15150000
resident evil requiem نسخه دلوکس,0,0,0,0,18000000
returnal,0,0,0,0,8500000
ride 5,0,0,0,0,6550000
ride 6,0,0,0,0,10950000
riders republic,0,0,0,0,5500000
riders republic و immortals: fenyx rising,0,0,0,0,5950000
rise of the ronin,0,0,0,0,6450000
roadcraft,0,0,0,0,7500000
robocop: rogue city,0,0,0,0,4950000
robocop: rogue city - unfinished business,0,0,0,0,7550000
robocop: rogue city collection,0,0,0,0,7950000
rogue flight,0,0,0,0,4250000
rollercoaster tycoon adventures deluxe,0,0,0,0,4450000
rpg maker with,0,0,0,0,8650000
rugby 25,0,0,0,0,7200000
rustler,0,0,0,0,4000000
s.t.a.l.k.e.r 2: heart of chernobyl نسخه day one,0,0,0,0,8550000
sackboy: a big adventure,0,0,0,0,5950000
sacred 2 remaster,0,0,0,0,6900000
saints row نسخه criminal customs,0,0,0,0,3850000
saints row نسخه notorious,0,0,0,0,13990000
saros,0,0,0,0,11000000
scarlet nexus,0,0,0,0,5900000
scars above,0,0,0,0,9950000
screamer,0,0,0,0,8950000
seeker: my shadow ps vr2,0,0,0,0,4950000
session,0,0,0,0,4500000
shadow warrior 3 نسخه definitive,0,0,0,0,5900000
shame legacy نسخه the cult,0,0,0,0,5950000
shinobi: art of vengeance,0,0,0,0,6950000
sifu,0,0,0,0,4950000
silent hill 2,0,0,0,0,10900000
silent hill f,0,0,0,0,9450000
sker ritual,0,0,0,0,5000000
skull and bones نسخه ویژه,0,0,0,0,5000000
skull island: rise of kong,0,0,0,0,4500000
smurfs kart,0,0,0,0,6000000
sniper elite: resistance,0,0,0,0,7950000
sniper ghost warrior: contracts 2 نسخه elite,0,0,0,0,6700000
sniper ghost warrior: contracts double pack,0,0,0,0,9900000
snowrunner,0,0,0,0,6450000
song in the smoke rekindled ps vr2,0,0,0,0,6950000
sonic frontiers,0,0,0,0,5950000
sonic origins plus نسخه limited,0,0,0,0,6400000
sonic racing: crossworlds,0,0,0,0,7950000
sonic superstars,0,0,0,0,6200000
sonic x shadow generations,0,0,0,0,6450000
sophia's animal clinic: mission wildlife park,0,0,0,0,6000000
space marine 2 نسخه محدود ultima,0,0,0,0,19000000
spider-man: miles morales,0,0,0,0,6950000
spirit hunter: death mark ii,0,0,0,0,8400000
split fiction,0,0,0,0,7950000
spongebob squarepants: the patrick star game,0,0,0,0,8900000
spongebob squarepants: titans of the tide,0,0,0,0,7450000
star overdrive,0,0,0,0,6950000
star trek prodigy: supernova,0,0,0,0,6400000
star wars episode i: jedi power battles,0,0,0,0,10900000
star wars jedi: fallen order,0,0,0,0,8000000
star wars jedi: survivor,0,0,0,0,7900000
star wars: outlaws نسخه ویژه,0,0,0,0,8900000
star wars: tales from the galaxy's edge نسخه enhanced ps vr2,0,0,0,0,7950000
starfield,0,0,0,0,9950000
starsand,0,0,0,0,4500000
starship troopers: extermination,0,0,0,0,8890000
still wakes the deep,0,0,0,0,5900000
stories from sol: the gun-dog نسخه starship,0,0,0,0,5500000
stray,0,0,0,0,8500000
street fighter 6 نسخه years 1-2 fighters,0,0,0,0,9900000
suicide guy vr ps vr2,0,0,0,0,7950000
super monkey ball: banana mania نسخه launch,0,0,0,0,4000000
survivor: castaway island,0,0,0,0,4500000
synth riders نسخه remastered ps vr2,0,0,0,0,5950000
system shock,0,0,0,0,6900000
system shock 2 25th anniversary remaster,0,0,0,0,9950000
taxi chaos 2,0,0,0,0,6950000
taxi life: a city driving simulator,0,0,0,0,9950000
teenage mutant ninja turtles arcade: wrath of the mutants,0,0,0,0,6000000
teenage mutant ninja turtles: shredder's revenge,0,0,0,0,7300000
teenage mutant ninja turtles: shredder's revenge نسخه سالگرد,0,0,0,0,5950000
teenage mutant ninja turtles: splintered fate نسخه دلوکس,0,0,0,0,8000000
teenage mutant ninja turtles: the cowabunga collection,0,0,0,0,4900000
temtem,0,0,0,0,4500000
tennis on-court ps vr2,0,0,0,0,6450000
tennis world tour 2 نسخه کامل,0,0,0,0,4990000
terminator 2d: no fate day one edition,0,0,0,0,8950000
terminator resistance نسخه,0,0,0,0,5650000
test drive unlimited: solar crown,0,0,0,0,6900000
the adventures of elliot: the millenium tales,0,0,0,0,13450000
the alters,0,0,0,0,11000000
the callisto protocol,0,0,0,0,5950000
the callisto protocol نسخه day one,0,0,0,0,4950000
the chant نسخه محدود,0,0,0,0,6000000
the crew motorfest,0,0,0,0,5950000
the crown of wu نسخه legend,0,0,0,0,7200000
the devil in me,0,0,0,0,8950000
the devil within: satgat,0,0,0,0,6950000
the elder scrolls iv: oblivion remastered نسخه دلوکس,0,0,0,0,7950000
the first berserker: khazan,0,0,0,0,9900000
the inquisitor نسخه دلوکس,0,0,0,0,10300000
the invincible,0,0,0,0,5000000
the last worker و ps vr2,0,0,0,0,5000000
the legend of heroes: trails beyond the horizon deluxe edition,0,0,0,0,13950000
the light brigade نسخه کالکتور ps vr2,0,0,0,0,5950000
the lord of the rings: gollum,0,0,0,0,5950000
the medium,0,0,0,0,4950000
the nightmare box vol. i,0,0,0,0,5950000
the nightmare box vol. ii,0,0,0,0,5950000
the nioh collection,0,0,0,0,5950000
the outer worlds 2,0,0,0,0,9900000
the pathless,0,0,0,0,5950000
the precinct نسخه محدود,0,0,0,0,8250000
the rogue prince of persia,0,0,0,0,6950000
the rumble fish 2,0,0,0,0,5000000
the sinking forest,0,0,0,0,5000000
the smurfs: mission vileaf,0,0,0,0,5990000
the thaumaturge,0,0,0,0,5950000
tides of tomorrow,0,0,0,0,8950000
tintin reporter: cigars of the pharaoh نسخه محدود,0,0,0,0,8500000
tiny tina's wonderlands نسخه next-level,0,0,0,0,4900000
tomb raider iv.v.vi remastered,0,0,0,0,7900000
tony hawk pro skater 3 + 4,0,0,0,0,9900000
topspin 2k25,0,0,0,0,6450000
tormented souls ii,0,0,0,0,6950000
touhou: spell carnival,0,0,0,0,9700000
townsmen vr ps vr2,0,0,0,0,6500000
toxic commando,0,0,0,0,8950000
tramsim نسخه دلوکس,0,0,0,0,8900000
tribes of midgard نسخه دلوکس,0,0,0,0,4000000
truck & logistics simulator,0,0,0,0,5450000
truck driver: the american dream,0,0,0,0,7900000
turok trilogy bundle,0,0,0,0,6650000
ufc 6,0,0,0,0,13950000
undead citadel ps vr2,0,0,0,0,7950000
underdgos ps vr2,0,0,0,0,4950000
undisputed,0,0,0,0,8500000
unholy,0,0,0,0,7900000
unicorn overlords,0,0,0,0,8900000
vampire: the masquerade - bloodlines 2,0,0,0,0,10500000
virgo versus the zodiac,0,0,0,0,6900000
void terrarrium ++نسخه دلوکس,0,0,0,0,5900000
wanderer: the fragments of fate نسخه nomad ps vr2,0,0,0,0,8950000
wanted: dead,0,0,0,0,5000000
warhammer 40000: space marine ii,0,0,0,0,7950000
warhammer 40000: space marine ii نسخه طلایی,0,0,0,0,13450000
warhammer age of sigmar: realms of ruin,0,0,0,0,5000000
warhammer: chaosbane نسخه slayer,0,0,0,0,5400000
weird west نسخه definitive,0,0,0,0,6400000
weird west نسخه definitive deluxe,0,0,0,0,13990000
wild hearts,0,0,0,0,6000000
winter sports games 4k edition,0,0,0,0,4550000
wizardry: proving grounds of the mad overlord,0,0,0,0,8750000
wo long: fallen dynasty,0,0,0,0,10900000
wo long: fallen dynasty نسخه steelbook launch,0,0,0,0,13990000
wrc,0,0,0,0,7950000
wrc 10,0,0,0,0,7200000
wreckfest,0,0,0,0,7900000
wreckreation,0,0,0,0,6600000
wuchang: fallen feathers نسخه day one,0,0,0,0,6950000
yakuza 3 kiwami و dark ties,0,0,0,0,9950000
ys x: nordics نسخه دلوکس,0,0,0,0,12900000
yuoni نسخه sunset,0,0,0,0,5950000
باب اسفنجی - the cosmic shake,0,0,0,0,5950000
زورو,0,0,0,0,5000000
هرکول پوآرو: the london cases,0,0,0,0,5000000
